"cenario","metodo","percentual_p","media_r","sd_r","n_r","media_rmse","sd_rmse","n_rmse","media_delta_r","sd_delta_r","n.x","media_delta_rmse","sd_delta_rmse","n.y"
"C5","GBLUP",25,0.836512632999897,0.0111470816566242,5,0.264814600522862,0.00703812987275236,5,0.0212004614423014,0.0108027560657917,5,0.0221733769556372,0.0113698173736266,5
"C5","GBLUP",10,0.82271064054434,0.0181521063854225,5,0.277502321428472,0.010525560332049,5,0.0350024538978584,0.0182043215840317,5,0.0348610978612467,0.0176598468877665,5
"C5","GBLUP",5,0.803389725935916,0.0202634852477032,5,0.290513206520623,0.00758380397346812,5,0.054323368506283,0.0142958581352806,5,0.0478719829533985,0.0122228455037218,5
"C5","GBLUP",1,0.600313238212563,0.0274695819348445,5,0.391726308002052,0.0173652034001579,5,0.257399856229636,0.0312437158744587,5,0.149085084434827,0.0197769857312655,5
"C5","MARS",100,0.617712202569341,0.0532492391822104,5,0.400258629742086,0.0371581370379568,5,0,0,5,0,0,5
"C5","MARS",50,0.617712202569341,0.0532492391822104,5,0.400258629742086,0.0371581370379568,5,0,0,5,0,0,5
"C5","MARS",25,0.617712202569341,0.0532492391822104,5,0.400258629742086,0.0371581370379568,5,0,0,5,0,0,5
"C5","MARS",10,0.617712202569341,0.0532492391822104,5,0.400258629742086,0.0371581370379568,5,0,0,5,0,0,5
"C5","MARS",5,0.617712202569341,0.0532492391822104,5,0.400258629742086,0.0371581370379568,5,0,0,5,0,0,5
"C5","MARS",1,0.617712202569341,0.0532492391822104,5,0.400258629742086,0.0371581370379568,5,0,0,5,0,0,5
